code,description,marca,price_distributor,price_distributor_with_ipi,price_final,price_final_with_ipi,priceresale,priceresalewithipi
11110-000050,CABO SERIAL TRANSFERENCIA DE DADOS LIFEPAK 500,,487.00,512.33,487.00,512.33,,
11113-000004,CABO TERAPIA QUIK COMBO LIFEPAK 15,,4537.28,4773.21,4537.28,4773.21,,
11110-000040,CABO TERAPIA QUIK COMBO LIFEPAKS 12 E 20,,2776.14,2920.50,2776.14,2920.50,,
11403,- 000001 CARREGADOR DE BATERIA CHARGE PAK COM 02 ELETRODOS ADULTO QUIK PAK,,3607.80,3788.19,3607.80,3788.19,,
11101-000004,ELETRODO ADULTO LIFEPAK 500 TREINAMENTO KIT,,719.06,756.45,719.06,756.45,,
11250-000015,ELETRODO ADULTO LIFEPAK CR PLUS TREINAMENTO,,293.88,309.16,293.88,309.16,,
11250-000012,ELETRODO ADULTO LIFEPAK CR PLUS TREINAMENTO KIT,,892.06,938.45,892.06,938.45,,
11996-000091,ELETRODO ADULTO QUIK COMBO,,527.31,554.73,585.90,616.37,,
11996-000017,ELETRODO ADULTO QUIK COMBO REDI PAK,,557.55,586.54,619.50,651.71,,
11101-000016,ELETRODO INFANTIL PEDIATRICO COM REDUTOR DE ENERGIA PARA DEA,,2478.96,2607.87,2478.96,2607.87,,
11996-000093,ELETRODO PEDIATRICO QUIK COMBO RTS,,590.00,620.68,590.00,620.68,,
11576-000071,FONTE DE ALIMENTAÇÃO PARA LUCAS 3,,4167.24,4375.60,4167.24,4375.60,,
40402-000041,IMPRESSORA TERMICA DE 50 MM PARA LIFEPAK 20,,4387.29,4615.43,4387.29,4615.43,,
11260-000023,MALETA DE TRANSPORTE LIFEPAK 1000,,2739.16,2917.21,2739.16,2917.21,,
11130-000013,PAS RIGIDAS DESFIBRILACAO EXTERNA ADULTO LIFEPAK 9,,1500.00,1578.00,1500.00,1578.00,,
21330-001007,PORTA MODO DEA PARA LIFEPAK 20,,444.44,467.55,493.82,519.50,,
11576-000046,VENTOSAS DESCARTAVEIS PARA LUCAS 3,,119.75,121.31,119.75,121.31,,
